team_id,team_name,kenpom_name
1101,Abilene Chr,Abilene Christian
1102,Air Force,Air Force
1103,Akron,Akron
1104,Alabama,Alabama
1105,Alabama A&M,Alabama A&M
1106,Alabama St,Alabama St.
1107,Albany NY,Albany
1108,Alcorn St,Alcorn St.
1110,American Univ,American
1111,Appalachian St,Appalachian St.
1112,Arizona,Arizona
1113,Arizona St,Arizona St.
1114,Ark Little Rock,Little Rock
1115,Ark Pine Bluff,Arkansas Pine Bluff
1116,Arkansas,Arkansas
1117,Arkansas St,Arkansas St.
1119,Army,Army
1120,Auburn,Auburn
1122,Austin Peay,Austin Peay
1123,Ball St,Ball St.
1124,Baylor,Baylor
1125,Belmont,Belmont
1126,Bethune-Cookman,Bethune Cookman
1127,Binghamton,Binghamton
1129,Boise St,Boise St.
1130,Boston College,Boston College
1131,Boston Univ,Boston University
1132,Bowling Green,Bowling Green
1133,Bradley,Bradley
1134,Brooklyn,LIU Brooklyn
1135,Brown,Brown
1136,Bryant,Bryant
1137,Bucknell,Bucknell
1138,Buffalo,Buffalo
1139,Butler,Butler
1140,BYU,BYU
1141,C Michigan,Central Michigan
1142,Cal Poly SLO,Cal Poly
1143,California,California
1144,Campbell,Campbell
1145,Canisius,Canisius
1146,Cent Arkansas,Central Arkansas
1148,Central Conn,Central Connecticut
1149,Charleston So,Charleston Southern
1150,Charlotte,Charlotte
1151,Chattanooga,Chattanooga
1152,Chicago St,Chicago St.
1153,Cincinnati,Cincinnati
1154,Citadel,The Citadel
1155,Clemson,Clemson
1156,Cleveland St,Cleveland St.
1157,Coastal Car,Coastal Carolina
1158,Col Charleston,College of Charleston
1159,Colgate,Colgate
1160,Colorado,Colorado
1161,Colorado St,Colorado St.
1162,Columbia,Columbia
1163,Connecticut,Connecticut
1164,Coppin St,Coppin St.
1165,Cornell,Cornell
1166,Creighton,Creighton
1167,CS Bakersfield,Cal St. Bakersfield
1168,CS Fullerton,Cal St. Fullerton
1169,CS Northridge,Cal St. Northridge
1171,Dartmouth,Dartmouth
1172,Davidson,Davidson
1173,Dayton,Dayton
1174,Delaware,Delaware
1175,Delaware St,Delaware St.
1176,Denver,Denver
1177,DePaul,DePaul
1178,Detroit,Detroit
1179,Drake,Drake
1180,Drexel,Drexel
1181,Duke,Duke
1182,Duquesne,Duquesne
1183,E Illinois,Eastern Illinois
1184,E Kentucky,Eastern Kentucky
1185,E Michigan,Eastern Michigan
1186,E Washington,Eastern Washington
1187,East Carolina,East Carolina
1188,Edwardsville,SIU Edwardsville
1189,Elon,Elon
1190,ETSU,East Tennessee St.
1191,Evansville,Evansville
1192,F Dickinson,Fairleigh Dickinson
1193,Fairfield,Fairfield
1194,FL Atlantic,Florida Atlantic
1195,FL Gulf Coast,Florida Gulf Coast
1196,Florida,Florida
1197,Florida A&M,Florida A&M
1198,Florida Intl,FIU
1199,Florida St,Florida St.
1200,Fordham,Fordham
1201,Fresno St,Fresno St.
1202,Furman,Furman
1203,G Washington,George Washington
1204,Ga Southern,Georgia Southern
1205,Gardner Webb,Gardner Webb
1206,George Mason,George Mason
1207,Georgetown,Georgetown
1208,Georgia,Georgia
1209,Georgia St,Georgia St.
1210,Georgia Tech,Georgia Tech
1211,Gonzaga,Gonzaga
1212,Grambling,Grambling St.
1213,Grand Canyon,Grand Canyon
1214,Hampton,Hampton
1216,Hartford,Hartford
1217,Harvard,Harvard
1218,Hawaii,Hawaii
1219,High Point,High Point
1220,Hofstra,Hofstra
1221,Holy Cross,Holy Cross
1222,Houston,Houston
1223,Houston Bap,Houston Baptist
1224,Howard,Howard
1225,Idaho,Idaho
1226,Idaho St,Idaho St.
1227,IL Chicago,Illinois Chicago
1228,Illinois,Illinois
1229,Illinois St,Illinois St.
1230,Incarnate Word,Incarnate Word
1231,Indiana,Indiana
1232,Indiana St,Indiana St.
1233,Iona,Iona
1234,Iowa,Iowa
1235,Iowa St,Iowa St.
1237,IUPUI,IUPUI
1238,Jackson St,Jackson St.
1239,Jacksonville,Jacksonville
1240,Jacksonville St,Jacksonville St.
1241,James Madison,James Madison
1242,Kansas,Kansas
1243,Kansas St,Kansas St.
1244,Kennesaw,Kennesaw St.
1245,Kent,Kent St.
1246,Kentucky,Kentucky
1247,La Salle,La Salle
1248,Lafayette,Lafayette
1249,Lamar,Lamar
1250,Lehigh,Lehigh
1251,Liberty,Liberty
1252,Lipscomb,Lipscomb
1254,Long Island,Long Beach St.
1255,Longwood,Longwood
1256,Louisiana Tech,Louisiana Tech
1257,Louisville,Louisville
1258,Loy Marymount,Loyola Marymount
1259,Loyola MD,Loyola MD
1260,Loyola-Chicago,Loyola Chicago
1261,LSU,LSU
1262,MA Lowell,UMass Lowell
1263,Maine,Maine
1264,Manhattan,Manhattan
1265,Marist,Marist
1266,Marquette,Marquette
1267,Marshall,Marshall
1268,Maryland,Maryland
1269,Massachusetts,Massachusetts
1270,McNeese St,McNeese St.
1271,MD E Shore,Maryland Eastern Shore
1272,Memphis,Memphis
1273,Mercer,Mercer
1274,Miami FL,Miami FL
1275,Miami OH,Miami OH
1276,Michigan,Michigan
1277,Michigan St,Michigan St.
1278,Minnesota,Minnesota
1279,Mississippi,Mississippi
1280,Mississippi St,Mississippi St.
1281,Missouri,Missouri
1282,Missouri KC,UMKC
1283,Missouri St,Missouri St.
1284,Monmouth NJ,Monmouth
1285,Montana,Montana
1286,Montana St,Montana St.
1287,Morehead St,Morehead St.
1288,Morgan St,Morgan St.
1290,MS Valley St,Mississippi Valley St.
1291,Mt St Mary's,Mount St. Mary's
1292,MTSU,Middle Tennessee
1293,Murray St,Murray St.
1294,N Colorado,Northern Colorado
1295,N Dakota St,North Dakota St.
1296,N Illinois,Northern Illinois
1297,N Kentucky,Northern Kentucky
1298,Navy,Navy
1299,NC A&T,North Carolina A&T
1300,NC Central,North Carolina Central
1301,NC State,North Carolina St.
1303,NE Omaha,Nebraska Omaha
1304,Nebraska,Nebraska
1305,Nevada,Nevada
1306,New Hampshire,New Hampshire
1307,New Mexico,New Mexico
1308,New Mexico St,New Mexico St.
1309,New Orleans,New Orleans
1310,Niagara,Niagara
1311,Nicholls St,Nicholls St.
1312,NJIT,NJIT
1313,Norfolk St,Norfolk St.
1314,North Carolina,North Carolina
1315,North Dakota,North Dakota
1316,North Florida,North Florida
1317,North Texas,North Texas
1318,Northeastern,Northeastern
